@relation fuzzy
@attribute a numeric
@attribute b numeric
@attribute s numeric
@data
%input1,input2, output3
133.8259814	,	-0.000793698	,	46.25565309
133.2699938	,	-0.000794268	,	46.20824155
132.7136173	,	-0.000794824	,	46.16079676
132.1568619	,	-0.000795365	,	46.11331958
131.5997374	,	-0.000795892	,	46.06581084
131.0422539	,	-0.000796405	,	46.0182714
130.4844211	,	-0.000796904	,	45.9707021
129.9262489	,	-0.000797389	,	45.92310378
129.3677474	,	-0.000797859	,	45.87547729
128.8089263	,	-0.000798316	,	45.82782348
128.2497955	,	-0.000798758	,	45.78014319
127.690365	,	-0.000799186	,	45.73243727
127.1306447	,	-0.0007996	,	45.68470656
126.5706445	,	-0.0008	,	45.63695191
126.0103742	,	-0.000800386	,	45.58917416
125.4498438	,	-0.000800758	,	45.54137417
124.8890631	,	-0.000801115	,	45.49355277
124.3280422	,	-0.000801459	,	45.44571081
123.7667908	,	-0.000801788	,	45.39784914
123.2053188	,	-0.000802103	,	45.34996861
122.6436363	,	-0.000802404	,	45.30207005
122.081753	,	-0.00080269	,	45.25415433
121.5196789	,	-0.000802963	,	45.20622227
120.9574239	,	-0.000803221	,	45.15827473
120.3949979	,	-0.000803466	,	45.11031256
119.8324108	,	-0.000803696	,	45.06233659
119.2696724	,	-0.000803912	,	45.01434768
118.7067927	,	-0.000804114	,	44.96634667
118.1437817	,	-0.000804302	,	44.91833441
117.5806491	,	-0.000804475	,	44.87031174
117.0174049	,	-0.000804635	,	44.8222795
116.4540589	,	-0.00080478	,	44.77423855
115.8906212	,	-0.000804911	,	44.72618973
115.3271015	,	-0.000805028	,	44.67813389
114.7635098	,	-0.000805131	,	44.63007186
114.199856	,	-0.00080522	,	44.5820045
113.63615	,	-0.000805294	,	44.53393265
113.0724016	,	-0.000805355	,	44.48585715
112.5086207	,	-0.000805401	,	44.43777886
111.9448173	,	-0.000805433	,	44.38969861
111.3810012	,	-0.000805452	,	44.34161725
110.8171823	,	-0.000805456	,	44.29353563
